district,leg_year,pop_moe,native_moe,foreign_born_moe,not_citizen_moe,not_citizen_moe_perc
13,2016,7764.0,6302.0,5314.0,5101.0,0.6
23,2016,4728.0,5046.0,4549.0,4349.0,0.5
27,2016,3791.0,5277.0,4637.0,4436.0,0.5
18,2016,4405.0,5072.0,4622.0,4192.0,0.5
6,2016,6587.0,6538.0,4350.0,4276.0,0.5
17,2016,6465.0,5998.0,4676.0,4343.0,0.5
15,2016,6835.0,6439.0,4271.0,4150.0,0.5
19,2016,4799.0,4634.0,3493.0,3096.0,0.4
2,2016,3789.0,3666.0,3162.0,3094.0,0.4
14,2016,3621.0,3946.0,4083.0,4104.0,0.4
16,2016,3995.0,4380.0,3837.0,3671.0,0.4
21,2016,3942.0,4384.0,3771.0,3380.0,0.4
10,2016,4891.0,5361.0,3506.0,3240.0,0.4
9,2016,4558.0,4400.0,3442.0,3292.0,0.4
8,2016,2101.0,4153.0,3602.0,3389.0,0.4
7,2016,5360.0,7211.0,5096.0,3984.0,0.4
26,2016,4527.0,4970.0,3360.0,3045.0,0.4
29,2016,-555555555.0,3839.0,3839.0,3287.0,0.4
20,2016,3741.0,4819.0,3974.0,3708.0,0.4
22,2016,2734.0,3446.0,3056.0,2564.0,0.3
31,2016,162.0,3017.0,3034.0,2880.0,0.3
12,2016,3746.0,3936.0,3354.0,2881.0,0.3
11,2016,3630.0,4586.0,3522.0,2760.0,0.3
4,2016,4118.0,4824.0,3314.0,2910.0,0.3
24,2016,1741.0,2593.0,2350.0,1941.0,0.2
25,2016,4625.0,4429.0,2691.0,2326.0,0.2
5,2016,-555555555.0,2558.0,2558.0,2260.0,0.2
28,2016,1109.0,1888.0,1761.0,1622.0,0.2
3,2016,3031.0,2927.0,1625.0,1509.0,0.2
30,2016,2574.0,2555.0,2232.0,2130.0,0.2
1,2016,-555555555.0,1362.0,1362.0,1436.0,0.2
