district,leg_year,pop,native,foreign_born,not_citizen,not_citizen_perc,party
33,115th Congress,727777.0,491222.0,236555.0,188460.0,25.9,D
29,115th Congress,740295.0,494791.0,245504.0,179545.0,24.3,D
9,115th Congress,780017.0,514652.0,265365.0,167667.0,21.5,D
7,115th Congress,770276.0,548115.0,222161.0,137446.0,17.8,D
15,115th Congress,764749.0,593880.0,170869.0,123154.0,16.1,D
18,115th Congress,766074.0,600989.0,165085.0,114860.0,15.0,D
28,115th Congress,742188.0,582784.0,159404.0,110840.0,14.9,D
24,115th Congress,774968.0,592832.0,182136.0,114284.0,14.7,R
34,115th Congress,720989.0,579146.0,141843.0,97992.0,13.6,D
16,115th Congress,734516.0,555948.0,178568.0,97078.0,13.2,D
32,115th Congress,752654.0,591203.0,161451.0,97503.0,13.0,D
2,115th Congress,767312.0,603291.0,164021.0,98406.0,12.8,R
30,115th Congress,760204.0,627655.0,132549.0,95189.0,12.5,D
35,115th Congress,795361.0,664748.0,130613.0,93369.0,11.7,D
22,115th Congress,844913.0,637483.0,207430.0,95569.0,11.3,R
3,115th Congress,816143.0,647350.0,168793.0,88312.0,10.8,R
5,115th Congress,740618.0,632671.0,107947.0,79374.0,10.7,R
23,115th Congress,752067.0,624521.0,127546.0,78310.0,10.4,R
10,115th Congress,813505.0,679568.0,133937.0,82723.0,10.2,R
20,115th Congress,776926.0,660905.0,116021.0,72876.0,9.4,D
17,115th Congress,750555.0,659549.0,91006.0,61275.0,8.2,R
8,115th Congress,807525.0,708896.0,98629.0,62604.0,7.8,R
26,115th Congress,823749.0,719259.0,104490.0,59445.0,7.2,R
6,115th Congress,759949.0,657980.0,101969.0,54697.0,7.2,R
14,115th Congress,737708.0,658542.0,79166.0,48770.0,6.6,R
13,115th Congress,708616.0,642162.0,66454.0,46872.0,6.6,R
36,115th Congress,726915.0,652058.0,74857.0,47507.0,6.5,R
12,115th Congress,773234.0,691400.0,81834.0,48628.0,6.3,R
11,115th Congress,753479.0,685214.0,68265.0,43971.0,5.8,R
21,115th Congress,777686.0,702373.0,75313.0,43845.0,5.6,R
27,115th Congress,732212.0,671360.0,60852.0,40148.0,5.5,R
31,115th Congress,806513.0,722396.0,84117.0,44434.0,5.5,R
19,115th Congress,721822.0,665132.0,56690.0,38457.0,5.3,R
1,115th Congress,713841.0,659616.0,54225.0,38121.0,5.3,R
25,115th Congress,755821.0,695684.0,60137.0,32365.0,4.3,R
4,115th Congress,728435.0,681842.0,46593.0,31082.0,4.3,R
