calculation,value
count_districts,31
pop_not_citizen,2955178.0
pop_all,27419612.0
not_citizen_pop_all_perc,10.8
median_pop_all_districts,883407.0
mean_pop_all_districts,884503.6
not_citizen_pop_in_median_district,3.3
not_citizen_pop_in_mean_district,3.3
pop_not_citizen_D_districts,1623639.0
not_citizen_pop_in_D_districts_perc,54.9
pop_not_citizen_R_districts,1331539.0
not_citizen_pop_in_R_districts_perc,45.1
