STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,STCOUFP,FULLNAME,COUNAME,STNAME,STCOUNAME,Low_Response_Score,Mail_Return_Rate_CEN_2010,Tot_Population_ACS_12_16,Tot_Population_ACSMOE_12_16,Med_HHD_Inc_ACS_12_16,Med_HHD_Inc_ACSMOE_12_16,pct_Pop_under_5_ACS_12_16,pct_Pop_under_5_ACSMOE_12_16,pct_Pop_18_24_ACS_12_16,pct_Pop_18_24_ACSMOE_12_16,pct_Pop_65plus_ACS_12_16,pct_Pop_65plus_ACSMOE_12_16,pct_Prs_Blw_Pov_Lev_ACS_12_16,pct_Prs_Blw_Pov_Lev_ACSMOE_12_16,pct_Not_HS_Grad_ACS_12_16,pct_Not_HS_Grad_ACSMOE_12_16,pct_NH_Blk_alone_ACS_12_16,pct_NH_Blk_alone_ACSMOE_12_16,pct_NH_White_alone_ACS_12_16,pct_NH_White_alone_ACSMOE_12_16,pct_Hispanic_ACS_12_16,pct_Hispanic_ACSMOE_12_16,pct_NH_AIAN_alone_ACS_12_16,pct_NH_AIAN_alone_ACSMOE_12_16,pct_NH_Asian_alone_ACS_12_16,pct_NH_Asian_alone_ACSMOE_12_16,pct_NH_NHOPI_alone_ACS_12_16,pct_NH_NHOPI_alone_ACSMOE_12_16,pct_NH_SOR_alone_ACS_12_16,pct_NH_SOR_alone_ACSMOE_12_16,pct_Born_foreign_ACS_12_16,pct_Born_foreign_ACSMOE_12_16,pct_ENG_VW_ACS_12_16,pct_ENG_VW_ACSMOE_12_16,pct_Age5p_Spanish_ACS_12_16,pct_Age5p_Spanish_ACSMOE_12_16,pct_Age5p_Russian_ACS_12_16,pct_Age5p_Russian_ACSMOE_12_16,pct_Age5p_Chinese_ACS_12_16,pct_Age5p_Chinese_ACSMOE_12_16,pct_Age5p_Korean_ACS_12_16,pct_Age5p_Korean_ACSMOE_12_16,pct_Age5p_Vietnames_ACS_12_16,pct_Age5p_Vietnames_ACSMOE_12_16,pct_Age5p_Tagalog_ACS_12_16,pct_Age5p_Tagalog_ACSMOE_12_16,pct_Age5p_Arabic_ACS_12_16,pct_Age5p_Arabic_ACSMOE_12_16,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,pct_Renter_Occp_HU_ACS_12_16,pct_Renter_Occp_HU_ACSMOE_12_16,pct_Rel_Under_6_ACS_12_16,pct_Rel_Under_6_ACSMOE_12_16,pct_Diff_HU_1yr_Ago_ACS_12_16,pct_Diff_HU_1yr_Ago_ACSMOE_12_16,pct_Vacant_Units_ACS_12_16,pct_Vacant_Units_ACSMOE_12_16,pct_MLT_U10p_ACS_12_16,pct_MLT_U10p_ACSMOE_12_16,pcat_all,pcat_10x1,OBJECTID
48,439,111521,48439111521,Census Tract 1115.21,48439,"Census Tract 1115.21, Tarrant County, TX",Tarrant County,Texas,"Tarrant County, Texas",27.8,72.5,8042,769,48507.0,3668.0,8.94,2.4,9.75,3.04,8.08,1.55,17.85,7.44,22.41,7.83,32.39,4.2,19.25,3.68,38.24,8.55,0.26,0.36,9.41,2.78,0.0,0.22,0.0,0.22,29.08,6.55,12.09,6.0,17.04,6.68,0.34,0.53,0.0,0.25,0.0,0.25,3.67,1.42,0.72,1.14,0.26,0.44,2874,55,2532,150,48.58,7.23,30.38,8.55,23.99,8.53,11.9,5.14,21.16,7.05,5.0,4.0,329
48,439,114205,48439114205,Census Tract 1142.05,48439,"Census Tract 1142.05, Tarrant County, TX",Tarrant County,Texas,"Tarrant County, Texas",19.3,84.6,3291,307,50461.0,10189.0,6.68,2.51,5.35,3.06,15.5,3.01,21.78,9.79,19.19,7.14,0.33,0.7,79.19,7.14,15.83,8.87,2.95,3.27,0.0,0.4,0.0,0.4,0.0,0.4,3.52,2.99,3.81,4.47,2.41,2.92,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.42,1306,93,1206,96,26.78,10.14,26.4,8.63,6.76,3.46,7.66,5.49,3.91,3.51,4.0,4.0,330
48,453,1822,48453001822,Census Tract 18.22,48453,"Census Tract 18.22, Travis County, TX",Travis County,Texas,"Travis County, Texas",29.3,69.0,6973,627,37151.0,7427.0,8.85,3.41,7.33,2.6,4.35,1.75,28.22,10.18,37.11,7.73,4.32,2.36,19.49,2.66,72.01,7.02,0.0,0.26,1.52,1.66,0.0,0.26,0.0,0.26,37.32,7.7,33.88,7.78,41.76,7.87,2.6,2.36,0.0,0.28,0.0,0.28,1.07,1.37,0.0,0.28,0.0,0.28,2520,51,2435,92,67.56,6.01,27.09,10.7,25.98,7.19,3.37,3.05,26.07,7.56,3.0,3.0,348
48,453,1841,48453001841,Census Tract 18.41,48453,"Census Tract 18.41, Travis County, TX",Travis County,Texas,"Travis County, Texas",22.7,81.5,17045,897,71136.0,5953.0,7.56,2.52,8.23,2.56,6.65,1.5,10.18,5.39,16.14,4.14,11.58,3.22,32.57,3.47,38.91,6.13,0.0,0.12,14.55,2.17,0.0,0.12,0.16,0.2,24.08,6.12,12.75,5.37,17.54,5.36,0.15,0.23,0.43,0.74,0.0,0.13,5.55,2.69,0.0,0.13,0.0,0.13,5608,147,5348,235,24.33,7.12,27.69,8.31,9.59,4.59,4.64,3.06,3.69,2.98,5.0,4.0,349
48,453,1845,48453001845,Census Tract 18.45,48453,"Census Tract 18.45, Travis County, TX",Travis County,Texas,"Travis County, Texas",22.6,75.2,2859,300,60432.0,8179.0,7.52,3.08,9.2,4.26,11.54,0.77,16.28,8.92,4.29,2.96,5.56,4.23,68.42,2.46,20.81,8.25,0.0,0.45,4.3,3.19,0.0,0.45,0.0,0.45,10.25,4.56,6.71,5.3,4.92,4.13,0.79,1.21,0.0,0.49,0.0,0.49,0.15,0.26,0.0,0.49,0.0,0.49,1546,50,1371,102,35.89,7.95,23.27,12.4,17.3,7.79,11.32,6.26,19.79,7.15,5.0,5.0,350
48,453,1913,48453001913,Census Tract 19.13,48453,"Census Tract 19.13, Travis County, TX",Travis County,Texas,"Travis County, Texas",14.6,83.6,4843,269,208064.0,20946.0,3.88,1.76,2.5,1.0,9.79,1.82,2.16,2.09,0.79,0.64,1.07,1.63,71.46,5.49,14.91,6.51,0.0,0.27,9.37,2.4,0.0,0.27,0.0,0.27,15.24,5.03,0.0,0.76,2.23,1.35,0.0,0.28,0.0,0.28,0.17,0.28,0.34,0.56,0.0,0.28,0.0,0.28,1852,70,1711,102,7.66,3.95,15.77,6.26,17.71,6.44,7.61,4.53,3.94,2.43,5.0,5.0,351
48,453,902,48453000902,Census Tract 9.02,48453,"Census Tract 9.02, Travis County, TX",Travis County,Texas,"Travis County, Texas",28.1,74.6,5369,491,42917.0,9860.0,5.08,2.32,5.76,2.33,10.23,1.68,20.04,6.78,26.25,5.91,3.97,2.47,26.6,4.76,66.03,6.94,0.15,0.24,2.18,1.72,0.0,0.34,0.91,1.38,23.3,7.74,11.22,4.66,21.29,5.69,0.0,0.35,0.0,0.35,0.0,0.35,0.14,0.22,0.0,0.35,0.0,0.35,2219,83,1997,113,53.08,7.59,17.89,7.82,14.58,4.91,10.0,3.86,30.1,6.53,5.0,5.0,353
48,453,1000,48453001000,Census Tract 10,48453,"Census Tract 10, Travis County, TX",Travis County,Texas,"Travis County, Texas",26.5,80.5,3709,383,53288.0,10902.0,3.67,2.34,4.85,2.24,15.13,2.43,18.45,10.08,23.13,6.02,2.08,1.71,33.86,4.96,61.18,8.24,0.0,0.35,2.21,1.57,0.0,0.35,0.0,0.35,20.79,6.56,9.41,5.51,19.84,7.25,0.0,0.36,0.95,1.03,0.0,0.36,0.0,0.36,0.0,0.36,0.0,0.36,1676,79,1477,107,48.68,7.99,23.72,12.57,14.86,5.81,11.87,4.92,19.51,5.59,4.0,4.0,354
48,453,1100,48453001100,Census Tract 11,48453,"Census Tract 11, Travis County, TX",Travis County,Texas,"Travis County, Texas",24.0,78.4,5719,642,125965.0,26077.0,2.2,2.44,4.53,3.28,10.74,2.19,9.73,2.64,4.15,1.76,3.57,1.83,74.51,5.23,10.79,5.52,0.0,0.31,7.87,3.15,0.0,0.31,0.0,0.31,13.48,3.59,0.61,1.1,1.32,1.08,0.57,0.95,0.18,0.29,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,4649,154,3465,288,61.5,6.81,10.91,13.47,35.32,7.7,25.47,5.75,95.83,5.32,5.0,5.0,355
48,29,191806,48029191806,Census Tract 1918.06,48029,"Census Tract 1918.06, Bexar County, TX",Bexar County,Texas,"Bexar County, Texas",19.5,85.7,8549,460,140612.0,28831.0,6.02,2.16,6.38,2.87,9.58,1.08,1.03,1.0,0.04,0.41,5.03,4.31,62.55,6.13,29.23,5.74,0.0,0.21,2.48,1.56,0.0,0.21,0.0,0.21,7.25,2.56,1.42,1.73,2.35,1.49,0.0,0.22,0.0,0.22,0.0,0.22,0.0,0.22,0.0,0.22,0.0,0.22,3133,68,2885,131,25.23,4.93,29.45,8.25,8.51,3.07,7.92,3.76,19.09,5.83,5.0,5.0,356
